gene_symbol	BRCA	TN-BRCA	nonTN-BRCA	EndoR-BRCA
ASCL1	No	No	Yes	Yes
ASCL2	No	Yes	No	No
ASCL4	Yes	No	No	No
ASF1B	No	Yes	No	No
ASIC4	Yes	No	No	No
ASNS	Yes	No	No	No
ASPH	Yes	No	No	No
ASS1	No	No	No	Yes
ASTN2	No	No	Yes	No
ASXL1	Yes	Yes	No	No
ASXL3	No	No	Yes	No
ATAD2B	Yes	No	No	No
ATAD3C	Yes	No	No	No
ATF3	Yes	No	No	No
ATF4	No	No	Yes	No
ATG7	No	No	Yes	No
ATHL1	No	Yes	No	Yes
ATL2	No	No	Yes	No
ATM	Yes	No	No	No
ATN1	Yes	No	No	No
ATOH1	No	No	Yes	No
ATOH8	Yes	Yes	Yes	No
ATP10A	Yes	No	No	No
ATP11A	Yes	No	No	No
ATP11B	No	Yes	No	No
ATP12A	Yes	No	No	No
ATP13A2	No	No	Yes	No
ATP13A3	No	Yes	No	No
ATP1A3	Yes	Yes	No	No
ATP1B1	No	No	Yes	No
ATP2A3	Yes	No	No	No
ATP5D	Yes	No	No	No
ATP5E	No	Yes	No	No
ATP5EP2	Yes	Yes	Yes	No
ATP5J	No	No	Yes	No
ATP6V0C	No	No	Yes	No
ATP6V0E2	Yes	No	Yes	No
ATP6V1A	No	Yes	No	No
ATP6V1B1	No	Yes	No	No
ATP8B3	Yes	No	No	No
ATP9A	No	No	Yes	No
ATPIF1	No	Yes	No	No
ATRAID	No	Yes	No	No
ATXN10	Yes	Yes	Yes	No
ATXN2	Yes	Yes	Yes	No
ATXN7	Yes	Yes	Yes	No
AUH	No	No	Yes	No
AURKA	Yes	No	No	No
AURKB	Yes	Yes	Yes	No
AVPR1A	Yes	Yes	Yes	No
AXIN2	No	No	No	Yes
B3GALNT1	Yes	Yes	Yes	No
B3GALT5	Yes	No	No	No
B3GAT1	Yes	No	No	No
B3GAT2	Yes	No	No	No
B3GNT5	Yes	Yes	Yes	No
B4GALNT3	Yes	No	No	No
B4GALT7	No	Yes	No	No
BAAT	Yes	No	No	No
BACE2	No	No	Yes	No
BAI1	Yes	Yes	Yes	No
BAI3	Yes	No	No	No
BAIAP2	No	No	No	Yes
BAIAP2L1	No	No	Yes	No
BAIAP3	Yes	Yes	Yes	No
BAMBI	No	No	No	Yes
BARD1	No	No	Yes	No
BARHL1	Yes	No	No	No
BARHL2	Yes	Yes	Yes	No
BARX1	Yes	No	No	No
BARX2	Yes	No	No	No
BATF3	Yes	No	No	No
BAZ2B	No	Yes	No	No
BBC3	No	Yes	Yes	No
BBOX1	Yes	Yes	Yes	No
BBS7	No	Yes	No	No
BCAN	No	Yes	Yes	No
BCAR1	No	No	Yes	No
BCL11A	Yes	No	No	No
BCL11B	Yes	No	No	No
BCL2L11	Yes	Yes	Yes	No
BCL3	No	Yes	No	No
BCL6	Yes	No	No	No
BCL6B	Yes	No	No	No
BCL7A	Yes	No	No	No
BCOR	Yes	Yes	Yes	No
BCR	Yes	Yes	Yes	No
BDNF	No	No	Yes	No
BEND5	Yes	No	No	No
BHLHA9	Yes	No	No	No
BHLHE22	Yes	No	Yes	No
BHLHE23	Yes	Yes	No	No
BHLHE40	Yes	No	Yes	No
BICC1	No	No	Yes	No
BICD2	Yes	Yes	Yes	No
BIN3	Yes	No	No	No
BIRC7	Yes	Yes	No	No
BLCAP	Yes	No	No	No
BLK	Yes	No	No	No
BLOC1S5-TXNDC5	Yes	Yes	No	No
BMF	Yes	No	No	No
BMI1	Yes	No	Yes	No
BMP1	Yes	No	No	No
BMP2	Yes	Yes	Yes	No
BMP6	Yes	No	No	No
BMP7	Yes	Yes	Yes	No
BMP8A	Yes	Yes	Yes	No
BMP8B	Yes	No	No	No
BMS1	Yes	No	No	No
BNC1	Yes	No	No	No
BNIP1	Yes	No	No	No
BNIP3	Yes	Yes	Yes	No
BNIP3L	Yes	No	No	No
BOC	No	No	Yes	No
BOK	Yes	No	No	No
BOLL	No	No	Yes	No
BRD1	Yes	No	No	No
BRI3	No	No	Yes	No
BRICD5	Yes	No	No	No
BRMS1	Yes	No	No	No
BTAF1	Yes	No	No	No
BTBD2	Yes	No	No	No
BTG2	No	Yes	No	No
BTG3	No	No	Yes	No
BTNL9	Yes	No	No	No
BUD13	Yes	No	No	No
C10orf105	Yes	Yes	Yes	No
C10orf11	Yes	Yes	Yes	Yes
C10orf129	Yes	No	No	No
C10orf137	Yes	No	No	No
C10orf35	No	Yes	No	No
C11orf44	No	No	Yes	No
C11orf58	Yes	Yes	Yes	Yes
C11orf92	Yes	Yes	Yes	No
C12orf5	Yes	No	No	No
C12orf57	Yes	No	No	No
C12orf65	No	No	Yes	Yes
C12orf68	Yes	No	No	No
C14orf132	Yes	No	No	No
C14orf37	No	No	Yes	No
C15orf60	Yes	No	No	No
C17orf75	Yes	Yes	Yes	No
C18orf8	Yes	Yes	Yes	No
C19orf10	No	Yes	No	No
C19orf24	Yes	No	No	No
C19orf26	Yes	No	No	No
C19orf77	Yes	No	No	No
C1QL1	Yes	Yes	Yes	No
C1QL2	Yes	Yes	Yes	No
C1QTNF9	Yes	No	No	No
C1orf174	Yes	No	No	No
C1orf191	No	No	Yes	No
C1orf61	No	No	Yes	No
C1orf87	No	Yes	No	No
C1orf95	No	Yes	No	No
C21orf62	No	No	Yes	No
C21orf67	Yes	Yes	Yes	No
C2CD2	No	Yes	No	No
C2CD4A	No	No	Yes	No
C2CD4B	Yes	No	No	No
C2orf49	Yes	No	No	No
C2orf88	No	No	Yes	No
C3orf33	Yes	No	No	No
C4orf6	No	Yes	No	No
C5orf20	Yes	No	No	No
C5orf38	Yes	Yes	Yes	No
C7orf13	Yes	Yes	Yes	No
C7orf72	Yes	No	No	No
C8orf44-SGK3	No	Yes	No	No
C8orf49	Yes	No	No	No
C9orf156	Yes	No	No	No
C9orf3	No	No	Yes	No
C9orf69	Yes	Yes	Yes	No
C9orf96	No	Yes	No	No
CA12	No	Yes	No	No
CA4	Yes	Yes	Yes	No
CAB39	No	Yes	No	No
CABLES1	No	Yes	No	No
CACHD1	No	No	Yes	No
CACNA1A	No	Yes	No	No
CACNA1C	No	No	Yes	No
CACNA1E	Yes	No	No	No
CACNA1G	Yes	Yes	Yes	No
CACNA1I	No	Yes	No	No
CACNB1	No	Yes	No	No
CACNG3	Yes	Yes	Yes	No
CACNG4	No	Yes	No	No
CACNG6	Yes	Yes	No	No
CACNG7	Yes	No	No	No
CACNG8	Yes	Yes	No	No
CACUL1	Yes	Yes	No	No
CACYBP	No	Yes	No	No
CADM3	Yes	No	No	No
CADM4	No	No	Yes	No
CADPS	No	No	Yes	No
CALCA	No	No	No	Yes
CALM1	No	Yes	No	No
CALML5	Yes	No	No	No
CALN1	Yes	No	No	No
CALR	No	Yes	No	No
CALU	Yes	No	No	No
CALY	Yes	Yes	Yes	No
CAMK2B	No	Yes	Yes	No
CAMKMT	Yes	No	No	No
CAMTA1	Yes	No	No	No
CAND1	Yes	Yes	No	No
CAP1	Yes	No	No	No
CAPN1	Yes	No	No	No
CAPN10	No	Yes	No	No
CAPN11	Yes	No	No	No
CAPN13	No	Yes	No	No
CAPZA2	No	No	Yes	No
CARF	No	Yes	No	No
CARM1	No	No	Yes	No
CASP16	Yes	No	No	No
CATSPER3	Yes	No	No	No
CATSPERB	Yes	No	No	No
CAV3	Yes	No	No	No
CBFA2T3	Yes	Yes	Yes	No
CBLN1	Yes	No	No	No
CBLN2	Yes	No	No	No
CBLN4	Yes	No	No	No
CBR4	No	No	Yes	No
CBX1	Yes	No	No	No
CBX4	Yes	Yes	Yes	No
CBX8	Yes	No	Yes	No
CC2D1B	Yes	No	No	No
CCBE1	No	Yes	No	No
CCBL1	Yes	Yes	Yes	No
CCDC105	Yes	No	No	No
CCDC106	No	No	Yes	No
CCDC14	Yes	No	No	No
CCDC180	Yes	No	No	Yes
CCDC41	No	Yes	No	No
CCDC78	No	Yes	No	No
CCDC85B	No	No	Yes	No
CCDC85C	Yes	Yes	Yes	No
CCDC90B	No	Yes	No	No
CCDC91	Yes	No	No	No
CCNC	Yes	No	No	No
CCND2	Yes	No	No	No
CCNF	No	Yes	No	No
CCNG2	Yes	No	No	No
CCNI2	Yes	No	No	No
CCNJ	No	No	Yes	No
CCNK	Yes	Yes	Yes	No
CCSAP	Yes	Yes	No	No
CCT5	No	Yes	No	No
CCT7	No	No	Yes	No
CCT8L2	No	No	Yes	No
CD151	Yes	No	No	No
CD1C	Yes	No	No	No
CD1D	Yes	No	No	Yes
CD207	Yes	Yes	Yes	No
CD226	Yes	No	No	No
CD300A	Yes	No	No	No
CD34	Yes	Yes	Yes	No
CD38	No	No	Yes	No
CD46	Yes	Yes	Yes	No
CD48	Yes	No	No	No
CD5	Yes	No	No	No
CD59	Yes	No	No	No
CD5L	Yes	No	No	No
CD80	No	Yes	No	No
CD82	Yes	No	Yes	No
CD9	Yes	Yes	Yes	Yes
CD99	Yes	No	No	No
CDA	Yes	No	No	No
CDC34	Yes	Yes	No	No
CDC37	Yes	Yes	Yes	No
CDC42	No	No	Yes	No
CDC42BPG	Yes	Yes	No	No
CDC42EP2	Yes	No	No	No
CDC42EP4	Yes	No	No	No
CDCA2	Yes	No	No	No
CDCA8	Yes	Yes	Yes	No
CDH1	Yes	No	No	No
CDH13	Yes	No	No	No
CDH2	No	No	Yes	No
CDH20	No	No	No	Yes
CDH22	Yes	No	No	No
CDH26	Yes	No	No	No
CDH4	Yes	Yes	Yes	No
CDH8	Yes	No	No	No
CDHR2	No	Yes	No	No
CDHR4	No	No	Yes	No
CDIP1	No	No	Yes	No
CDK12	Yes	Yes	No	No
CDK19	No	Yes	No	No
CDK2AP1	No	No	Yes	Yes
CDK5	Yes	No	No	No
CDK5R2	Yes	Yes	No	No
CDK9	Yes	No	No	No
CDKL1	No	Yes	No	No
CDKN2A	Yes	Yes	Yes	No
CDKN2B	Yes	No	No	No
CDX2	Yes	Yes	Yes	No
CEBPA	Yes	Yes	Yes	No
CEBPG	Yes	Yes	Yes	No
CECR5	No	No	Yes	No
CEL	Yes	Yes	Yes	No
CELF2	Yes	No	Yes	No
CELF3	Yes	No	No	No
CELF4	Yes	No	No	No
CELSR1	No	No	Yes	Yes
CENPN	Yes	No	No	No
CEP170	Yes	No	No	No
CEP19	No	Yes	No	No
CEP57	No	No	Yes	No
CEP72	Yes	No	No	No
CEP85L	No	No	Yes	No
CERS1	Yes	No	No	No
CERS3	No	No	Yes	No
CHAC1	Yes	No	No	No
CHAT	Yes	No	No	No
CHCHD2	Yes	No	No	No
CHCHD6	No	Yes	Yes	No
CHCHD7	No	Yes	No	No
CHD1	Yes	No	No	No
CHD2	Yes	Yes	Yes	No
CHD5	Yes	Yes	No	No
CHD6	Yes	No	No	No
CHERP	No	No	Yes	No
CHI3L2	No	No	Yes	No
CHKA	Yes	Yes	Yes	No
CHL1	Yes	No	No	No
CHMP6	No	No	Yes	No
